episode,reward,length,win
1,-67.2000,57,0
2,-69.8000,68,0
3,-57.6000,32,0
4,-54.9000,33,0
5,-65.7000,47,0
6,-49.5000,16,0
7,-70.2000,54,0
8,-57.6000,17,0
9,-42.3000,10,0
10,-53.9000,9,0
11,-49.6000,24,0
12,-48.4000,22,0
13,-57.7000,15,0
14,-60.6000,13,0
15,-52.5000,26,0
16,-62.5000,52,0
17,-67.9000,49,0
18,-71.4000,86,0
19,-44.5000,19,0
20,-54.0000,7,0
21,-53.8000,20,0
22,-49.2000,19,0
23,-48.8000,41,0
24,-57.6000,12,0
25,-57.0000,10,0
26,-86.8000,55,0
27,-48.4000,12,0
28,-56.6000,9,0
29,-45.3000,16,0
30,-45.5000,13,0
31,-61.5000,33,0
32,-57.4000,9,0
33,-55.9000,13,0
34,-44.8000,19,0
35,-58.1000,8,0
36,-57.0000,10,0
37,-51.0000,35,0
38,-47.2000,12,0
39,-61.6000,26,0
40,-57.1000,18,0
41,-57.0000,22,0
42,-53.5000,32,0
43,-51.9000,29,0
44,-66.9000,47,0
45,-44.2000,11,0
46,-56.4000,7,0
47,-56.9000,14,0
48,-46.4000,18,0
49,-55.8000,15,0
50,-58.9000,24,0
51,-56.4000,10,0
52,-56.4000,8,0
53,-63.1000,38,0
54,-57.1000,9,0
55,-63.8000,58,0
56,-59.3000,19,0
57,-58.5000,13,0
58,-61.6000,22,0
59,-59.4000,47,0
60,-77.1000,95,0
61,-54.8000,13,0
62,-51.7000,37,0
63,-51.5000,26,0
64,-57.4000,9,0
65,-56.4000,42,0
66,-58.8000,14,0
67,154.9500,33,1
68,-50.8000,30,0
69,-59.6000,58,0
70,-59.8000,14,0
71,-74.3000,39,0
72,-58.1000,16,0
73,-76.3000,65,0
74,-61.7000,32,0
75,152.4500,41,1
76,-60.8000,29,0
77,-56.5000,85,0
78,-47.5000,30,0
79,-73.6000,40,0
80,-46.8000,18,0
81,-56.7000,9,0
82,-50.0000,33,0
83,-58.1000,48,0
84,-55.5000,16,0
85,-45.7000,13,0
86,-54.8000,10,0
87,-54.5000,7,0
88,-54.5000,10,0
89,-60.9000,63,0
90,-56.6000,10,0
91,-83.5000,60,0
92,-63.2000,23,0
93,-57.6000,18,0
94,-55.4000,11,0
95,-43.5000,12,0
96,-70.4000,56,0
97,-73.2000,78,0
98,-58.0000,14,0
99,-58.0000,9,0
100,-64.9000,22,0
101,-59.8000,23,0
102,-65.1000,35,0
103,-51.2000,36,0
104,-61.2000,63,0
105,-62.1000,21,0
106,-66.2000,30,0
107,-59.0000,14,0
108,-61.6000,16,0
109,-55.9000,6,0
110,-61.8000,71,0
111,-48.9000,14,0
112,-60.5000,64,0
113,-59.3000,38,0
114,-57.7000,19,0
115,-63.8000,70,0
116,-61.7000,11,0
117,137.7500,85,1
118,-58.3000,10,0
119,-56.4000,9,0
120,-62.2000,44,0
121,-66.3000,53,0
122,-56.1000,10,0
123,-67.5000,34,0
124,-47.8000,20,0
125,-57.7000,44,0
126,-56.1000,14,0
127,-56.9000,10,0
128,-76.6000,64,0
129,-47.6000,12,0
130,-57.3000,27,0
131,-56.9000,13,0
132,-47.0000,19,0
133,-43.4000,12,0
134,153.0000,36,1
135,-64.4000,47,0
136,-61.1000,24,0
137,-67.4000,62,0
138,-49.4000,20,0
139,-55.5000,10,0
140,-57.0000,12,0
141,-49.7000,21,0
142,-54.7000,16,0
143,-59.4000,12,0
144,-57.3000,11,0
145,-47.0000,29,0
146,-54.1000,10,0
147,-49.8000,27,0
148,-46.4000,23,0
149,-71.5000,60,0
150,-48.9000,28,0
151,-51.8000,22,0
152,-56.4000,7,0
153,-57.3000,11,0
154,-67.1000,74,0
155,-59.1000,15,0
156,-54.9000,21,0
157,-46.2000,21,0
158,-80.0000,81,0
159,-77.4000,48,0
160,-67.6000,32,0
161,-53.4000,27,0
162,-64.3000,40,0
163,-49.4000,15,0
164,-56.8000,8,0
165,-57.7000,9,0
166,-53.1000,32,0
167,-53.0000,40,0
168,-53.2000,5,0
169,-61.0000,33,0
170,-56.5000,7,0
171,-47.7000,30,0
172,-53.5000,8,0
173,-50.4000,25,0
174,-53.2000,5,0
175,-54.3000,8,0
176,-56.0000,7,0
177,-63.4000,51,0
178,-47.5000,12,0
179,-45.0000,12,0
180,-57.0000,36,0
181,-55.7000,26,0
182,-57.0000,30,0
183,-46.4000,14,0
184,-58.3000,15,0
185,-50.8000,20,0
186,-54.0000,9,0
187,-56.3000,9,0
188,-71.6000,66,0
189,-60.5000,44,0
190,-58.2000,20,0
191,-61.3000,28,0
192,-63.3000,41,0
193,-91.9000,112,0
194,-53.0000,29,0
195,-50.4000,20,0
196,-55.6000,6,0
197,-57.7000,24,0
198,-58.1000,25,0
199,-59.5000,56,0
200,-57.1000,22,0
201,-63.7000,39,0
202,-48.4000,29,0
203,-56.9000,11,0
204,-45.2000,15,0
205,-50.4000,27,0
206,-50.8000,40,0
207,-59.4000,32,0
208,-55.5000,13,0
209,-57.4000,10,0
210,-67.4000,64,0
211,-68.0000,82,0
212,-50.8000,25,0
213,-53.6000,13,0
214,-46.9000,25,0
215,-68.9000,37,0
216,-49.3000,14,0
217,-48.1000,22,0
218,-60.9000,24,0
219,-56.5000,15,0
220,-52.8000,35,0
221,-58.4000,37,0
222,-50.2000,13,0
223,-60.6000,59,0
224,-56.6000,13,0
225,-52.4000,21,0
226,-56.3000,19,0
227,-60.3000,45,0
228,-55.1000,9,0
229,-42.9000,10,0
230,-49.8000,29,0
231,-54.2000,8,0
232,-50.4000,23,0
233,-49.5000,22,0
234,-57.0000,11,0
235,-53.3000,5,0
236,-54.8000,5,0
237,-49.9000,30,0
238,-62.6000,68,0
239,-57.1000,12,0
240,-42.4000,4,0
241,-55.7000,7,0
242,-52.4000,22,0
243,-50.1000,20,0
244,-63.5000,31,0
245,-50.8000,17,0
246,-64.4000,37,0
247,-51.2000,38,0
248,-51.6000,33,0
249,-56.7000,15,0
250,-77.5000,48,0
251,-58.3000,50,0
252,-49.7000,30,0
253,-54.6000,38,0
254,-50.4000,28,0
255,-46.6000,16,0
256,-45.8000,12,0
257,-47.8000,24,0
258,-45.9000,24,0
259,-44.1000,14,0
260,-49.0000,19,0
261,-54.8000,5,0
262,-56.0000,6,0
263,-46.5000,18,0
264,-49.4000,21,0
265,-53.9000,19,0
266,-52.9000,22,0
267,-51.9000,18,0
268,-92.5000,98,0
269,-84.3000,73,0
270,-60.1000,61,0
271,-45.5000,10,0
272,-62.8000,71,0
273,132.6500,133,1
274,-45.7000,16,0
275,-59.0000,16,0
276,-58.4000,14,0
277,-52.5000,21,0
278,-54.5000,26,0
279,-50.9000,23,0
280,-77.0000,73,0
281,-47.2000,30,0
282,-59.0000,36,0
283,-51.0000,32,0
284,-42.1000,11,0
285,-54.0000,55,0
286,-49.8000,39,0
287,-57.6000,15,0
288,-42.4000,11,0
289,147.9500,71,1
290,-59.4000,73,0
291,-53.6000,6,0
292,-43.2000,9,0
293,-45.9000,10,0
294,-67.4000,25,0
295,-59.8000,20,0
296,-64.0000,16,0
297,-53.3000,41,0
298,-57.8000,53,0
299,-50.5000,33,0
300,-50.9000,21,0
301,-51.8000,32,0
302,-62.1000,17,0
303,-54.4000,6,0
304,-47.0000,18,0
305,-53.5000,8,0
306,-56.4000,55,0
307,-77.5000,106,0
308,-48.7000,20,0
309,-57.0000,11,0
310,-53.4000,38,0
311,-54.0000,5,0
312,-55.7000,7,0
313,-53.7000,28,0
314,-60.1000,25,0
315,-55.7000,6,0
316,-54.8000,5,0
317,-61.1000,29,0
318,-59.0000,34,0
319,-63.1000,46,0
320,-69.6000,84,0
321,-55.9000,22,0
322,165.7000,32,1
323,-54.3000,8,0
324,-43.3000,11,0
325,-57.3000,46,0
326,-58.7000,31,0
327,-56.9000,58,0
328,-57.5000,8,0
329,-55.7000,7,0
330,-52.1000,50,0
331,-46.5000,12,0
332,-58.8000,18,0
333,-47.3000,16,0
334,-69.4000,57,0
335,-58.2000,48,0
336,-55.9000,20,0
337,-53.3000,6,0
338,147.4000,58,1
339,-55.6000,6,0
340,-50.5000,28,0
341,-44.8000,9,0
342,-68.9000,44,0
343,-56.4000,11,0
344,-59.7000,51,0
345,-51.8000,33,0
346,-45.4000,13,0
347,-61.0000,24,0
348,-44.4000,11,0
349,-52.7000,38,0
350,-48.3000,29,0
351,-56.6000,11,0
352,150.7000,62,1
353,-42.6000,16,0
354,158.5000,60,1
355,-55.7000,10,0
356,158.7500,27,1
357,-52.3000,56,0
358,-45.3000,11,0
359,-56.9000,71,0
360,162.1500,39,1
361,162.0000,34,1
362,-42.2000,12,0
363,-56.0000,6,0
364,-47.7000,22,0
365,-50.7000,13,0
366,-50.5000,28,0
367,-47.4000,30,0
368,-52.6000,33,0
369,-48.1000,36,0
370,-63.9000,25,0
371,-54.7000,66,0
372,169.0000,20,1
373,-58.0000,12,0
374,125.9000,52,1
375,-57.6000,11,0
376,166.8000,24,1
377,-42.5000,17,0
378,-50.9000,25,0
379,-46.9000,29,0
380,-47.2000,21,0
381,160.4500,33,1
382,153.9500,61,1
383,-60.6000,12,0
384,172.0500,13,1
385,-43.1000,13,0
386,-63.4000,41,0
387,-46.8000,9,0
388,-61.1000,24,0
389,-54.3000,31,0
390,-55.6000,10,0
391,-45.8000,19,0
392,-52.3000,32,0
393,-47.8000,22,0
394,-46.7000,21,0
395,-41.9000,10,0
396,-49.2000,16,0
397,-45.0000,12,0
398,-58.2000,10,0
399,-57.7000,15,0
400,152.8500,35,1
401,167.6500,25,1
402,-49.0000,23,0
403,-56.7000,7,0
404,162.6500,27,1
405,-55.5000,67,0
406,-48.5000,20,0
407,-48.3000,28,0
408,-46.1000,16,0
409,-59.1000,36,0
410,-47.5000,28,0
411,-62.1000,27,0
412,-54.6000,58,0
413,-45.3000,16,0
414,152.2000,36,1
415,-47.2000,31,0
416,-49.5000,24,0
417,170.4500,19,1
418,-43.0000,10,0
419,168.3000,30,1
420,-47.3000,20,0
421,-45.3000,17,0
422,-47.0000,34,0
423,-76.4000,121,0
424,-46.3000,16,0
425,-46.0000,28,0
426,-46.2000,21,0
427,-45.7000,11,0
428,-42.8000,10,0
429,-47.8000,34,0
430,166.3000,20,1
431,-55.1000,53,0
432,-46.2000,13,0
433,167.3500,21,1
434,165.6000,20,1
435,-55.1000,7,0
436,166.4000,28,1
437,-49.8000,36,0
438,165.6500,19,1
439,-43.2000,11,0
440,-51.5000,26,0
441,-46.2000,17,0
442,-42.5000,11,0
443,-56.6000,11,0
444,-55.0000,10,0
445,166.3500,17,1
446,-47.9000,21,0
447,-59.0000,15,0
448,-57.1000,57,0
449,160.6500,29,1
450,-55.8000,20,0
451,165.7500,19,1
452,-53.5000,62,0
453,161.4500,57,1
454,-45.8000,18,0
455,-49.7000,30,0
456,-62.8000,63,0
457,-45.5000,23,0
458,-46.4000,22,0
459,165.3000,18,1
460,155.9000,40,1
461,-56.3000,9,0
462,-46.6000,17,0
463,167.3500,27,1
464,-64.9000,27,0
465,-49.4000,31,0
466,-57.0000,9,0
467,-43.7000,17,0
468,166.3000,32,1
469,164.0000,34,1
470,170.2000,20,1
471,-62.1000,32,0
472,-47.3000,26,0
473,-60.3000,34,0
474,-50.1000,24,0
475,-58.5000,16,0
476,170.6000,22,1
477,151.2000,46,1
478,152.7000,46,1
479,162.4500,25,1
480,159.8500,27,1
481,165.3000,40,1
482,169.5000,14,1
483,-49.7000,46,0
484,-49.4000,13,0
485,159.9000,40,1
486,-47.1000,17,0
487,170.6500,19,1
488,-55.0000,20,0
489,-45.3000,17,0
490,-45.8000,16,0
491,-87.3000,52,0
492,-44.8000,8,0
493,-50.6000,19,0
494,-61.9000,55,0
495,-52.8000,26,0
496,166.9000,24,1
497,169.6000,16,1
498,163.1000,34,1
499,165.0500,25,1
500,-53.1000,15,0
501,-55.9000,6,0
502,-44.4000,13,0
503,-51.2000,18,0
504,-46.8000,36,0
505,154.4500,43,1
506,-50.0000,12,0
507,171.9000,14,1
508,168.4000,18,1
509,-44.5000,18,0
510,155.5500,21,1
511,168.4500,19,1
512,-46.7000,8,0
513,-60.0000,32,0
514,-45.9000,18,0
515,172.0000,22,1
516,169.0500,23,1
517,-46.0000,17,0
518,-44.0000,7,0
519,-45.8000,18,0
520,-42.8000,12,0
521,98.9000,90,1
522,-77.8000,32,0
523,-44.1000,14,0
524,-54.2000,14,0
525,-56.9000,33,0
526,-51.2000,15,0
527,-54.3000,5,0
528,-44.1000,16,0
529,-44.9000,20,0
530,163.7500,43,1
531,158.9000,22,1
532,-46.2000,22,0
533,164.5000,24,1
534,-45.3000,17,0
535,-45.0000,12,0
536,159.1000,32,1
537,-56.8000,17,0
538,168.4000,24,1
539,171.8000,14,1
540,166.7500,21,1
541,159.4500,41,1
542,-43.5000,9,0
543,167.9500,19,1
544,-48.7000,18,0
545,-46.1000,17,0
546,170.9500,17,1
547,172.0500,13,1
548,-42.0000,13,0
549,156.8000,20,1
550,163.6500,21,1
551,160.5000,28,1
552,167.9000,18,1
553,164.6500,35,1
554,160.7000,26,1
555,-44.1000,21,0
556,169.8500,17,1
557,169.8500,23,1
558,-41.8000,10,0
559,-41.3000,8,0
560,165.7500,17,1
561,170.0500,21,1
562,-55.4000,11,0
563,162.7500,35,1
564,-58.7000,14,0
565,166.3500,29,1
566,-43.5000,20,0
567,-61.1000,28,0
568,162.1000,26,1
569,-42.9000,15,0
570,-120.7000,74,0
571,165.8500,23,1
572,-50.2000,16,0
573,151.8500,41,1
574,-46.5000,12,0
575,168.9000,22,1
576,164.4500,27,1
577,-44.5000,21,0
578,169.2500,17,1
579,167.1500,19,1
580,164.3500,19,1
581,167.5500,21,1
582,145.6500,41,1
583,-63.9000,30,0
584,-51.0000,26,0
585,-45.4000,11,0
586,169.5500,15,1
587,162.9000,18,1
588,170.9000,18,1
589,161.7000,28,1
590,165.8000,24,1
591,-52.3000,16,0
592,-53.0000,11,0
593,-47.7000,14,0
594,-47.3000,15,0
595,171.0500,13,1
596,-43.0000,15,0
597,-56.4000,32,0
598,170.9500,13,1
599,168.0500,37,1
600,-47.3000,22,0
601,146.5500,35,1
602,-61.4000,18,0
603,164.5000,22,1
604,163.6000,28,1
605,-54.1000,26,0
606,-47.7000,22,0
607,169.4500,17,1
608,-42.3000,15,0
609,-44.2000,12,0
610,169.2000,16,1
611,162.1000,30,1
612,161.2000,20,1
613,169.6000,18,1
614,162.7500,15,1
615,161.2500,17,1
616,-45.8000,15,0
617,147.6000,48,1
618,-46.3000,10,0
619,167.3000,24,1
620,-44.2000,8,0
621,-42.7000,16,0
622,-44.6000,13,0
623,163.3500,19,1
624,166.4000,16,1
625,-55.6000,6,0
626,-56.1000,9,0
627,-55.6000,6,0
628,165.6000,24,1
629,-48.4000,27,0
630,-54.0000,5,0
631,167.7000,16,1
632,167.4000,22,1
633,-43.4000,16,0
634,-43.5000,9,0
635,-56.8000,7,0
636,-56.9000,9,0
637,-42.9000,11,0
638,-54.0000,5,0
639,-54.0000,5,0
640,171.0500,17,1
641,-45.3000,13,0
642,-55.9000,6,0
643,-44.0000,17,0
644,171.5500,15,1
645,-55.9000,6,0
646,166.3000,24,1
647,-55.9000,6,0
648,169.1000,22,1
649,169.1500,19,1
650,-47.4000,15,0
651,-41.8000,15,0
652,148.2500,55,1
653,-56.7000,7,0
654,160.9000,24,1
655,-54.6000,28,0
656,-42.2000,10,0
657,170.5000,24,1
658,-52.9000,21,0
659,159.7500,23,1
660,163.6500,25,1
661,171.0000,20,1
662,169.8500,15,1
663,-46.5000,19,0
664,167.3000,26,1
665,138.0000,64,1
666,169.5500,21,1
667,-45.7000,12,0
668,166.4000,20,1
669,168.4000,18,1
670,-45.4000,15,0
671,-54.0000,24,0
672,-45.2000,11,0
673,-59.5000,29,0
674,-47.3000,23,0
675,163.3500,21,1
676,170.7500,21,1
677,168.8500,25,1
678,-45.7000,12,0
679,167.1000,16,1
680,161.1000,18,1
681,-47.9000,11,0
682,-57.1000,10,0
683,171.3500,19,1
684,163.3000,26,1
685,166.2500,19,1
686,165.2500,25,1
687,168.9000,18,1
688,-43.3000,14,0
689,170.7000,18,1
690,156.8000,40,1
691,168.3000,20,1
692,163.6500,31,1
693,-55.9000,6,0
694,-55.2000,45,0
695,157.6000,28,1
696,159.5500,43,1
697,-42.2000,12,0
698,-48.6000,16,0
699,162.1000,36,1
700,-42.5000,10,0
701,169.1000,14,1
702,-62.9000,62,0
703,-56.7000,31,0
704,-58.0000,58,0
705,170.0000,12,1
706,160.3000,46,1
707,-60.4000,17,0
708,-55.0000,7,0
709,170.2500,15,1
710,166.6000,34,1
711,169.5500,21,1
712,161.5000,34,1
713,160.2500,25,1
714,167.9000,24,1
715,164.3500,17,1
716,167.9000,20,1
717,169.8500,15,1
718,168.8000,24,1
719,-46.2000,27,0
720,162.1500,37,1
721,-60.5000,65,0
722,-96.9000,57,0
723,170.6000,24,1
724,165.7500,33,1
725,165.2000,32,1
726,-46.5000,16,0
727,162.7500,39,1
728,-55.2000,10,0
729,-43.0000,12,0
730,-54.7000,33,0
731,163.9500,17,1
732,-49.7000,22,0
733,167.6000,26,1
734,170.4500,15,1
735,164.5000,48,1
736,158.2500,41,1
737,-53.8000,42,0
738,149.5000,32,1
739,166.1500,33,1
740,166.6500,15,1
741,-47.8000,26,0
742,-56.8000,7,0
743,172.2000,16,1
744,-55.1000,6,0
745,166.4000,32,1
746,163.3500,15,1
747,-43.5000,12,0
748,-58.4000,23,0
749,173.2000,14,1
750,162.7500,37,1
751,165.9000,24,1
752,166.1000,24,1
753,165.0500,33,1
754,-58.0000,18,0
755,-55.9000,16,0
756,-42.7000,10,0
757,-55.6000,6,0
758,164.2000,28,1
759,170.9500,19,1
760,-48.0000,24,0
761,-48.9000,36,0
762,168.4000,18,1
763,-46.1000,27,0
764,-46.6000,14,0
765,-46.7000,9,0
766,-46.7000,23,0
767,166.6500,33,1
768,170.7000,16,1
769,-56.6000,15,0
770,-57.3000,10,0
771,163.2000,20,1
772,-56.0000,19,0
773,141.4000,60,1
774,166.7000,34,1
775,-54.2000,37,0
776,169.8000,26,1
777,-51.4000,27,0
778,-45.8000,13,0
779,166.2000,34,1
780,167.1000,36,1
781,172.3000,16,1
782,171.2000,26,1
783,169.1500,27,1
784,159.4000,42,1
785,168.5000,22,1
786,170.6500,17,1
787,150.6000,28,1
788,146.7500,61,1
789,165.7500,31,1
790,-50.2000,20,0
791,153.1500,45,1
792,167.7500,25,1
793,164.9500,25,1
794,165.3500,19,1
795,170.2500,17,1
796,171.3500,21,1
797,160.2000,38,1
798,-84.2000,88,0
799,-57.3000,10,0
800,172.2500,15,1
801,161.9000,24,1
802,159.5000,40,1
803,167.2500,23,1
804,-43.8000,13,0
805,-45.6000,17,0
806,-59.1000,16,0
807,-54.1000,6,0
808,169.3000,28,1
809,172.0000,14,1
810,-49.5000,20,0
811,167.8000,18,1
812,-53.4000,22,0
813,-65.1000,35,0
814,-54.6000,40,0
815,-51.5000,35,0
816,171.2500,23,1
817,157.0000,20,1
818,-47.7000,22,0
819,168.5000,16,1
820,170.3500,17,1
821,-60.9000,48,0
822,-57.3000,10,0
823,-57.0000,14,0
824,-49.9000,21,0
825,-46.1000,28,0
826,169.7500,21,1
827,-49.0000,28,0
828,166.2000,24,1
829,170.6500,25,1
830,170.0000,20,1
831,-53.8000,29,0
832,163.7500,23,1
833,-46.0000,19,0
834,-48.4000,26,0
835,-48.8000,27,0
836,-50.6000,12,0
837,-45.2000,12,0
838,168.9000,20,1
839,170.1500,15,1
840,159.2000,24,1
841,168.1500,17,1
842,-52.8000,12,0
843,152.9000,20,1
844,169.0000,14,1
845,-56.6000,35,0
846,168.9000,22,1
847,170.1000,34,1
848,166.7000,26,1
849,167.8000,18,1
850,167.3500,27,1
851,170.3000,18,1
852,-45.1000,9,0
853,170.9000,14,1
854,150.5500,43,1
855,-42.7000,10,0
856,167.9000,18,1
857,-43.6000,17,0
858,-58.3000,42,0
859,168.3000,22,1
860,164.3500,33,1
861,167.3000,20,1
862,172.6000,12,1
863,166.5500,15,1
864,-46.1000,15,0
865,-44.6000,14,0
866,-45.8000,22,0
867,167.1500,21,1
868,162.1000,22,1
869,163.6000,18,1
870,-48.9000,28,0
871,170.3000,14,1
872,-54.0000,6,0
873,169.9500,13,1
874,165.2000,34,1
875,170.1500,15,1
876,-60.8000,10,0
877,170.9500,25,1
878,169.9500,17,1
879,-53.3000,6,0
880,-44.2000,14,0
881,153.0500,33,1
882,167.7500,19,1
883,170.6500,17,1
884,-50.8000,19,0
885,169.3000,12,1
886,171.7500,13,1
887,170.0000,16,1
888,160.4000,30,1
889,-54.1000,6,0
890,165.2000,22,1
891,-59.9000,15,0
892,171.3500,15,1
893,-46.6000,22,0
894,170.7000,14,1
895,162.8000,22,1
896,168.8500,29,1
897,170.2000,16,1
898,-60.1000,22,0
899,167.6500,13,1
900,162.5500,25,1
901,164.0000,26,1
902,-53.3000,22,0
903,170.4500,17,1
904,162.8000,28,1
905,171.4000,12,1
906,166.7500,25,1
907,171.3000,20,1
908,166.1500,19,1
909,164.9500,39,1
910,167.9000,16,1
911,170.8500,17,1
912,-53.3000,61,0
913,-44.1000,15,0
914,-48.9000,25,0
915,157.1500,35,1
916,164.1000,26,1
917,171.6500,15,1
918,-43.1000,12,0
919,166.5000,32,1
920,-45.8000,17,0
921,171.7000,18,1
922,163.4000,18,1
923,169.0000,20,1
924,-56.0000,7,0
925,165.2500,23,1
926,166.9000,24,1
927,164.6500,19,1
928,170.5500,17,1
929,-44.6000,23,0
930,-53.7000,12,0
931,168.5000,16,1
932,-63.9000,44,0
933,-58.4000,22,0
934,157.1000,40,1
935,165.3000,16,1
936,167.8000,20,1
937,162.4000,44,1
938,168.4000,20,1
939,170.1500,15,1
940,168.5000,32,1
941,160.8000,22,1
942,166.4500,25,1
943,161.4000,34,1
944,172.3000,18,1
945,169.5000,20,1
946,166.5500,15,1
947,164.9500,23,1
948,-45.9000,14,0
949,171.2000,14,1
950,165.8500,31,1
951,170.3000,16,1
952,168.9500,17,1
953,-56.8000,10,0
954,170.6000,12,1
955,-49.9000,32,0
956,166.4000,14,1
957,-53.3000,6,0
958,156.6000,40,1
959,156.6500,51,1
960,-42.9000,14,0
961,171.3500,15,1
962,-56.6000,49,0
963,170.1500,15,1
964,161.4000,18,1
965,-43.1000,18,0
966,-45.0000,12,0
967,165.9000,18,1
968,159.6000,30,1
969,-51.0000,40,0
970,169.0500,17,1
971,-45.8000,16,0
972,164.6500,17,1
973,-42.0000,20,0
974,166.5500,21,1
975,170.0500,19,1
976,163.5000,20,1
977,170.7000,16,1
978,-42.9000,14,0
979,165.7500,21,1
980,172.3000,14,1
981,157.8500,27,1
982,-45.4000,14,0
983,-47.6000,16,0
984,170.5500,19,1
985,169.8500,19,1
986,171.3500,15,1
987,171.6500,15,1
988,166.9000,18,1
989,170.7500,13,1
990,168.2500,19,1
991,168.7500,19,1
992,170.8000,18,1
993,-53.3000,6,0
994,-57.1000,52,0
995,-52.6000,27,0
996,160.0500,35,1
997,169.9000,18,1
998,-44.7000,15,0
999,-50.4000,42,0
1000,164.4000,20,1
