episode,reward,length,win
1,-44.4000,10,0
2,-43.0000,11,0
3,-60.2000,27,0
4,-59.8000,26,0
5,-52.9000,23,0
6,-44.6000,10,0
7,-58.5000,12,0
8,-58.8000,23,0
9,-58.5000,12,0
10,-62.4000,19,0
11,-46.6000,10,0
12,-43.7000,14,0
13,-54.1000,7,0
14,-56.7000,22,0
15,-64.8000,18,0
16,-45.5000,12,0
17,-64.2000,31,0
18,-59.7000,19,0
19,-61.0000,32,0
20,-62.8000,40,0
21,-56.8000,48,0
22,-54.8000,6,0
23,-61.9000,34,0
24,-57.4000,11,0
25,-54.3000,25,0
26,-54.4000,35,0
27,-48.1000,15,0
28,-56.3000,12,0
29,-55.4000,7,0
30,-65.1000,33,0
31,-50.9000,33,0
32,-57.1000,13,0
33,-54.7000,11,0
34,-60.1000,21,0
35,-58.1000,18,0
36,-43.7000,10,0
37,-49.8000,19,0
38,-55.8000,55,0
39,-60.5000,37,0
40,-66.7000,41,0
41,-60.1000,17,0
42,-58.9000,27,0
43,-54.0000,5,0
44,-54.5000,7,0
45,-57.6000,9,0
46,-53.4000,19,0
47,-67.8000,42,0
48,-63.7000,32,0
49,-57.2000,9,0
50,-62.3000,49,0
51,-57.4000,10,0
52,-45.5000,8,0
53,-60.2000,19,0
54,-57.9000,10,0
55,-57.4000,11,0
56,-54.9000,7,0
57,-62.4000,29,0
58,-58.7000,13,0
59,-59.1000,20,0
60,-57.5000,10,0
61,-57.8000,11,0
62,-66.8000,67,0
63,-48.4000,13,0
64,-57.7000,19,0
65,-63.7000,62,0
66,-54.8000,9,0
67,-56.4000,12,0
68,-74.2000,50,0
69,-53.1000,27,0
70,-54.5000,9,0
71,-58.2000,11,0
72,-53.9000,26,0
73,-56.2000,28,0
74,-60.3000,24,0
75,-55.6000,11,0
76,-55.7000,6,0
77,-66.3000,63,0
78,-50.4000,24,0
79,-59.5000,11,0
80,-65.8000,30,0
81,-56.6000,46,0
82,-46.9000,17,0
83,-57.1000,12,0
84,-67.1000,70,0
85,-60.0000,25,0
86,-83.6000,105,0
87,-60.8000,26,0
88,-46.1000,14,0
89,-56.5000,11,0
90,-55.1000,9,0
91,-63.6000,37,0
92,-47.7000,7,0
93,-55.9000,6,0
94,-52.3000,20,0
95,-57.4000,19,0
96,-54.0000,5,0
97,-54.1000,6,0
98,-63.4000,36,0
99,-57.5000,14,0
100,-69.2000,52,0
101,-59.5000,52,0
102,-56.1000,35,0
103,-67.4000,45,0
104,-59.0000,38,0
105,-55.3000,12,0
106,-54.6000,26,0
107,-58.0000,29,0
108,-46.2000,10,0
109,-54.8000,6,0
110,-50.1000,23,0
111,-54.4000,30,0
112,-52.5000,22,0
113,-57.1000,8,0
114,-49.3000,13,0
115,-62.8000,36,0
116,-49.8000,16,0
117,-46.4000,10,0
118,-54.9000,9,0
119,-51.8000,15,0
120,-49.0000,18,0
121,-60.7000,58,0
122,-62.9000,52,0
123,-59.5000,40,0
124,-59.2000,35,0
125,-43.0000,6,0
126,-50.8000,35,0
