episode,reward,win
1,3.6100000000000083,0
2,-3.3000000000000003,0
3,23.139999999999883,0
4,21.54999999999981,0
5,7.410000000000009,0
6,-0.11999999999999833,0
7,14.849999999999891,0
8,3.650000000000002,0
9,20.129999999999757,0
10,-3.29,0
11,22.339999999999964,0
12,21.55999999999976,0
13,-1.0799999999999983,0
14,-1.1099999999999985,0
15,9.02000000000002,0
16,1.6900000000000057,0
17,50.880000000000216,0
18,2.7400000000000038,0
19,34.690000000000154,0
20,19.379999999999985,0
21,10.67000000000002,0
22,51.06000000000117,0
23,2.260000000000012,0
24,25.199999999999694,0
25,16.069999999999794,0
26,22.049999999999915,0
27,-1.6499999999999901,0
28,-2.429999999999997,0
29,3.5500000000000096,0
30,2.7500000000000036,0
31,-2.0300000000000002,0
32,13.590000000000007,0
33,15.09999999999999,0
34,3.8100000000000254,0
35,-0.23999999999999577,0
36,-0.16999999999999815,0
37,21.629999999999875,0
38,10.240000000000014,0
39,3.620000000000008,0
40,38.54000000000001,0
41,1.390000000000013,0
42,19.139999999999976,0
43,-1.329999999999993,0
44,-1.1699999999999982,0
45,43.56000000000018,0
46,14.40999999999999,0
47,5.470000000000011,0
48,-0.08999999999999897,0
49,0.7600000000000025,0
50,40.270000000000046,0
51,52.89000000000019,0
52,0.8500000000000005,0
53,5.610000000000005,0
54,55.87000000000006,0
55,43.68000000000008,0
56,1.7400000000000055,0
57,1.6500000000000057,0
58,2.8500000000000014,0
59,-1.0300000000000002,0
60,10.010000000000016,0
61,45.54000000000047,0
62,21.289999999999917,0
63,19.359999999999985,0
64,13.959999999999994,0
65,10.50000000000001,0
66,-2.1999999999999975,0
67,-1.0699999999999994,0
68,47.760000000000005,0
69,8.770000000000005,0
70,18.489999999999977,0
71,2.490000000000011,0
72,4.320000000000009,0
73,16.20999999999998,0
74,4.100000000000017,0
75,24.099999999999934,0
76,9.570000000000007,0
77,0.8200000000000021,0
78,15.409999999999936,0
79,7.46000000000001,0
80,23.289999999999697,0
81,11.760000000000005,0
82,11.429999999999989,0
83,65.0399999999999,0
84,29.65999999999987,0
85,32.52000000000008,0
86,43.06000000000025,0
87,21.69999999999997,0
88,11.860000000000003,0
89,51.7700000000005,0
90,8.180000000000014,0
91,47.27000000000005,0
92,62.32999999999983,0
93,62.7499999999998,0
94,31.910000000000103,0
95,9.710000000000004,0
96,37.099999999999895,0
97,2.6200000000000028,0
98,21.249999999999964,0
99,77.59999999999852,0
100,0.7800000000000038,0
101,16.44999999999996,0
102,15.779999999999966,0
103,7.570000000000007,0
104,1.6700000000000053,0
105,38.25000000000002,0
106,32.66999999999991,0
107,51.59000000000015,0
108,40.179999999999986,0
109,6.630000000000004,0
110,22.869999999999894,0
111,20.929999999999907,0
112,12.470000000000006,0
113,12.700000000000003,0
114,-0.03999999999999915,0
115,3.730000000000004,0
116,20.219999999999946,0
117,38.94,0
118,11.189999999999927,0
119,3.690000000000005,0
120,10.410000000000005,0
121,5.870000000000003,0
122,33.73999999999997,0
123,-1.089999999999999,0
124,40.10999999999996,0
125,53.93000000000003,0
126,20.839999999999876,0
127,-2.1799999999999997,0
128,27.019999999999968,0
129,44.73000000000014,0
130,19.269999999999975,0
131,50.84000000000004,0
132,5.360000000000014,0
133,47.310000000000095,0
134,8.830000000000002,0
135,-2.1399999999999997,0
136,5.380000000000011,0
137,58.84000000000019,0
138,74.86999999999921,0
139,15.45999999999999,0
140,11.64,0
141,24.609999999999854,0
142,78.29999999999949,0
143,63.60000000000001,0
144,8.650000000000007,0
145,24.219999999999924,0
146,15.30999999999997,0
147,21.799999999999848,0
148,36.08000000000013,0
149,-0.11999999999999922,0
150,82.70999999999864,0
151,90.37999999999921,0
152,10.490000000000009,0
153,6.760000000000005,0
154,48.06999999999997,0
155,26.98999999999998,0
156,60.18000000000002,0
157,4.850000000000001,0
158,15.299999999999969,0
159,2.9399999999999995,0
160,6.3200000000000145,0
161,96.38,0
162,61.420000000000186,0
163,27.359999999999935,0
164,7.740000000000004,0
165,-0.18999999999999861,0
166,17.719999999999967,0
167,12.730000000000004,0
168,15.559999999999992,0
169,-1.0699999999999985,0
170,-1.3499999999999934,0
171,49.720000000000105,0
172,70.07999999999994,0
173,5.620000000000008,0
174,10.49000000000001,0
175,109.04999999999917,0
176,108.39999999999883,0
177,12.680000000000007,0
178,-0.10999999999999943,0
179,4.950000000000001,0
180,43.240000000000066,0
181,2.820000000000003,0
182,44.50000000000003,0
183,-2.2199999999999953,0
184,38.090000000000025,0
185,30.589999999999883,0
186,24.84999999999987,0
187,21.589999999999993,0
188,10.860000000000003,0
189,12.830000000000002,0
190,28.439999999999962,0
191,3.8400000000000016,0
192,17.72999999999999,0
193,3.7400000000000055,0
194,71.14999999999985,0
195,13.479999999999972,0
196,4.730000000000006,0
197,3.790000000000001,0
198,27.379999999999946,0
199,106.91999999999918,0
200,19.36999999999998,0
201,13.729999999999997,0
202,2.7900000000000045,0
203,32.32999999999996,0
204,-2.16,0
205,59.40000000000019,0
206,9.740000000000004,0
207,34.069999999999965,0
208,-3.06,0
209,46.730000000000096,0
210,23.69999999999998,0
211,18.239999999999906,0
212,46.289999999999985,0
213,41.769999999999996,0
214,3.7400000000000038,0
215,1.9200000000000008,0
216,12.820000000000004,0
217,26.819999999999855,0
218,60.34999999999911,0
219,36.97000000000008,0
220,-0.17999999999999705,0
221,10.830000000000004,0
222,96.07999999999971,0
223,73.55999999999943,0
224,57.750000000000306,0
225,24.37999999999995,0
226,20.34999999999993,0
227,22.67999999999998,0
228,28.389999999999922,0
229,72.63999999999999,0
230,2.8400000000000016,0
231,87.21999999999953,0
232,67.16999999999959,0
233,66.48999999999998,0
234,78.2099999999999,0
235,56.19000000000007,0
236,4.870000000000001,0
237,14.68999999999999,0
238,13.789999999999992,0
239,2.95,0
240,19.549999999999976,0
241,-1.0399999999999991,0
242,27.449999999999946,0
243,19.429999999999968,0
244,26.709999999999983,0
245,-1.0299999999999994,0
246,-3.12,0
247,131.8600000000043,0
248,4.790000000000001,0
249,34.8200000000001,0
250,36.22999999999994,0
251,44.750000000000114,0
252,3.9300000000000015,0
253,16.649999999999984,0
254,-2.04,0
255,36.34000000000012,0
256,37.249999999999986,0
257,9.760000000000003,0
258,6.940000000000001,0
259,0.8900000000000006,0
260,20.419999999999956,0
261,21.77999999999999,0
262,11.790000000000003,0
263,-3.1100000000000003,0
264,2.900000000000002,0
265,18.369999999999926,0
266,45.24,0
267,130.23,0
268,7.9300000000000015,0
269,59.440000000000026,0
270,-2.179999999999997,0
271,36.48,0
272,5.830000000000004,0
273,73.89000000000003,0
274,128.01999999999902,0
275,16.629999999999967,0
276,27.709999999999994,0
277,5.920000000000002,0
278,11.89,0
279,89.66999999999953,0
280,132.21000000000058,0
281,81.02999999999983,0
282,7.830000000000002,0
283,10.860000000000003,0
284,3.780000000000001,0
285,30.08999999999989,0
286,-0.08000000000000007,0
287,60.739999999999895,0
288,14.679999999999996,0
289,32.619999999999976,0
290,117.76999999999931,0
291,103.12999999999951,0
292,3.7600000000000033,0
293,62.33999999999962,0
294,71.96999999999947,0
295,28.459999999999972,0
296,25.189999999999905,0
297,24.319999999999926,0
298,80.2799999999982,0
299,89.32000000000002,0
300,102.38999999999943,0
301,27.87999999999988,0
302,-2.179999999999996,0
303,39.13000000000007,0
304,17.499999999999968,0
305,142.15000000000083,0
306,18.679999999999986,0
307,37.39000000000004,0
308,107.90999999999907,0
309,49.14000000000009,0
310,2.9000000000000004,0
311,14.699999999999992,0
