episode,reward,length,win
1,-55.3000,12,0
2,-57.2000,18,0
3,-72.0000,26,0
4,-53.9000,10,0
5,-53.9000,8,0
6,-66.7000,21,0
7,-53.9000,14,0
8,-58.6000,13,0
9,-55.3000,11,0
10,-54.9000,8,0
11,-57.9000,16,0
12,-54.6000,13,0
13,-59.8000,13,0
14,-62.1000,16,0
15,-46.4000,9,0
16,-53.7000,18,0
17,-57.1000,16,0
18,-53.4000,8,0
19,-45.7000,30,0
20,-49.4000,15,0
21,-55.6000,10,0
22,-56.8000,12,0
23,-56.6000,16,0
24,-60.4000,22,0
25,-58.7000,9,0
26,-55.4000,13,0
27,-55.1000,9,0
28,-54.3000,11,0
29,-55.9000,15,0
30,-52.9000,11,0
31,-62.2000,16,0
32,-54.4000,8,0
33,-52.6000,9,0
34,-54.7000,13,0
35,-55.4000,12,0
36,-56.5000,15,0
37,-54.2000,10,0
38,-61.9000,14,0
39,-53.2000,6,0
40,-64.5000,19,0
41,-54.3000,13,0
42,-58.1000,14,0
43,-62.6000,20,0
44,-60.6000,13,0
45,-56.9000,10,0
46,-56.2000,13,0
47,-55.6000,9,0
48,-53.9000,8,0
49,-54.6000,11,0
50,-58.1000,12,0
51,-55.3000,10,0
52,-54.4000,10,0
53,-57.4000,13,0
54,-57.2000,9,0
55,-64.9000,17,0
56,-63.7000,21,0
57,-63.4000,13,0
58,-57.5000,13,0
59,-56.7000,20,0
60,-54.2000,9,0
61,-54.9000,11,0
62,-54.5000,18,0
63,-55.1000,12,0
64,-57.9000,17,0
65,-58.6000,21,0
66,-60.5000,14,0
67,-57.8000,18,0
68,-55.9000,12,0
69,-54.0000,8,0
70,-54.7000,16,0
71,-55.2000,18,0
72,-57.5000,13,0
73,-58.6000,17,0
74,-58.5000,14,0
75,-55.3000,12,0
76,-54.6000,11,0
77,-58.1000,12,0
78,-58.8000,30,0
79,-55.4000,11,0
80,-55.4000,15,0
81,-61.1000,23,0
82,-54.8000,8,0
83,-53.8000,12,0
84,-53.4000,7,0
85,-55.0000,9,0
86,-59.2000,15,0
87,-59.0000,11,0
88,-59.9000,13,0
89,-54.6000,13,0
90,-54.8000,15,0
91,-59.6000,19,0
92,-61.2000,22,0
93,-62.2000,17,0
94,-63.8000,16,0
95,-57.8000,14,0
96,-55.2000,15,0
97,-58.5000,19,0
98,-55.4000,10,0
99,-53.4000,7,0
100,-54.8000,8,0
101,-54.7000,9,0
102,-56.2000,10,0
103,-55.2000,12,0
104,-55.4000,10,0
105,-58.3000,14,0
