# episode,reward,length,win
1,-54.1000,12,0
2,-52.6000,8,0
3,-65.7000,69,0
4,-48.3000,46,0
5,-51.6000,41,0
6,-41.8000,14,0
7,-52.1000,6,0
8,-60.8000,36,0
9,-53.5000,13,0
10,-44.9000,36,0
11,-44.4000,25,0
12,-57.7000,68,0
13,-55.1000,23,0
14,-53.2000,9,0
15,-42.5000,12,0
16,-53.6000,49,0
17,-55.0000,79,0
18,-58.5000,66,0
19,-53.0000,8,0
20,-52.3000,6,0
21,-54.3000,22,0
22,-53.2000,8,0
23,-42.8000,14,0
24,-52.2000,50,0
25,-51.9000,10,0
26,-52.2000,9,0
27,-44.8000,25,0
28,-44.2000,26,0
29,-54.0000,41,0
30,-41.4000,12,0
31,-52.6000,7,0
32,-52.7000,60,0
33,-51.8000,6,0
34,-56.6000,25,0
35,-55.3000,17,0
36,-53.5000,8,0
37,-55.7000,21,0
38,-52.1000,9,0
39,-55.1000,20,0
40,-42.8000,14,0
41,-46.3000,33,0
42,-52.1000,53,0
43,-52.9000,7,0
44,-50.9000,48,0
45,-58.1000,35,0
46,-46.1000,35,0
47,-45.6000,29,0
48,-54.4000,67,0
49,-48.4000,37,0
50,-52.7000,7,0
51,-54.6000,14,0
52,-42.4000,23,0
53,-52.6000,55,0
54,-46.4000,22,0
55,-50.5000,67,0
56,-56.4000,24,0
57,-49.1000,43,0
58,-53.3000,10,0
59,-53.5000,9,0
60,-51.8000,7,0
61,-42.8000,14,0
62,-47.1000,44,0
63,-53.4000,11,0
64,-52.8000,8,0
65,-63.9000,46,0
66,-53.0000,8,0
67,-46.7000,34,0
68,-54.9000,18,0
69,-50.9000,50,0
70,-48.1000,40,0
71,-44.8000,28,0
72,-53.8000,13,0
73,-49.6000,35,0
74,557.1000,74,1
75,557.3000,60,1
76,-52.4000,7,0
77,-45.6000,30,0
78,-46.6000,36,0
79,-42.8000,18,0
80,-52.2000,7,0
81,-52.0000,54,0
82,-53.5000,8,0
83,-55.3000,29,0
84,-52.6000,61,0
85,-44.5000,22,0
86,-52.2000,56,0
87,562.2000,46,1
88,-53.5000,9,0
89,-52.4000,12,0
90,-51.1000,7,0
91,-54.8000,25,0
92,-43.2000,21,0
93,-55.8000,31,0
94,-55.2000,19,0
95,-55.2000,16,0
96,-41.5000,10,0
97,-53.7000,56,0
98,-52.3000,7,0
99,-44.0000,14,0
100,-44.4000,21,0
101,-54.7000,14,0
102,-53.8000,16,0
103,-57.3000,36,0
104,-55.6000,26,0
105,-53.1000,10,0
106,-42.3000,15,0
107,-50.3000,64,0
108,-53.5000,15,0
109,-51.9000,10,0
110,-54.1000,15,0
111,-41.4000,16,0
112,-60.3000,55,0
113,-45.1000,29,0
114,-53.1000,9,0
115,-47.9000,46,0
116,-55.2000,69,0
117,-43.9000,19,0
118,-47.0000,39,0
119,-51.9000,6,0
120,-57.4000,18,0
121,-52.9000,9,0
122,-44.1000,19,0
123,-48.6000,47,0
124,-50.8000,54,0
125,-47.7000,41,0
126,-53.3000,9,0
127,-41.9000,15,0
128,-53.3000,8,0
129,-57.2000,32,0
130,-52.1000,6,0
131,-60.5000,39,0
132,-53.5000,23,0
133,-53.0000,9,0
134,-53.3000,9,0
135,-42.7000,10,0
136,-45.1000,20,0
137,556.6500,79,1
138,-45.8000,25,0
139,-58.3000,36,0
140,-41.3000,6,0
141,565.4000,38,1
142,-55.3000,11,0
143,-45.1000,18,0
144,-52.7000,7,0
145,-45.7000,24,0
146,-45.9000,23,0
147,-53.6000,13,0
148,-51.9000,7,0
149,-45.6000,35,0
150,-52.4000,60,0
151,-45.5000,34,0
152,567.1000,26,1
153,-44.9000,37,0
154,-51.5000,63,0
155,-51.0000,5,0
156,-50.2000,52,0
