# episode,reward,length,win
1,-55.2000,67,0
2,-55.5000,19,0
3,-42.9000,18,0
4,-44.5000,20,0
5,-53.0000,10,0
6,-53.8000,11,0
7,-57.1000,29,0
8,-48.2000,35,0
9,-46.7000,33,0
10,-53.6000,18,0
11,-55.5000,21,0
12,-53.0000,12,0
13,-55.3000,17,0
14,-54.3000,15,0
15,-47.0000,36,0
16,-43.6000,20,0
17,-57.7000,33,0
18,-53.4000,12,0
19,-55.7000,15,0
20,-50.5000,56,0
21,-49.1000,28,0
22,-53.3000,79,0
23,-53.8000,17,0
24,-44.6000,27,0
25,553.2000,80,1
26,-42.6000,10,0
27,-44.7000,29,0
28,-52.8000,78,0
29,-53.6000,11,0
30,-58.6000,63,0
31,-43.6000,30,0
32,-71.6000,138,0
33,-44.6000,22,0
34,-47.6000,44,0
35,-53.1000,10,0
36,-41.9000,8,0
37,-42.1000,15,0
38,-51.6000,6,0
39,-43.0000,13,0
40,-41.8000,15,0
41,-52.1000,7,0
42,-45.5000,30,0
43,-53.6000,13,0
44,-47.1000,44,0
45,-46.2000,25,0
46,-51.3000,77,0
47,-54.7000,16,0
48,-51.2000,83,0
49,-47.4000,37,0
50,-44.8000,22,0
51,-45.0000,28,0
52,-53.9000,12,0
53,-46.8000,39,0
54,-42.7000,25,0
55,-47.0000,36,0
56,-48.0000,27,0
57,-42.7000,12,0
58,-45.8000,38,0
59,-50.1000,50,0
60,-40.0000,10,0
61,559.1500,53,1
62,-52.5000,7,0
63,-48.5000,32,0
64,-51.5000,5,0
65,-53.5000,8,0
66,-43.3000,15,0
67,-44.3000,18,0
68,-51.9000,7,0
69,-43.8000,24,0
70,-52.9000,8,0
71,-52.6000,14,0
72,-45.0000,24,0
73,-57.0000,24,0
74,559.3000,42,1
75,-51.9000,14,0
76,-56.7000,24,0
77,-45.6000,27,0
78,-54.9000,22,0
79,-53.6000,10,0
80,-45.4000,35,0
81,-52.3000,6,0
82,-67.3000,57,0
83,-52.3000,6,0
84,-50.1000,61,0
85,-57.5000,78,0
86,-42.4000,18,0
87,-54.6000,20,0
88,-44.4000,18,0
89,-52.9000,14,0
90,-43.4000,9,0
91,-47.8000,33,0
92,-52.2000,55,0
93,-52.4000,7,0
94,-42.5000,15,0
95,-46.6000,20,0
96,-45.0000,26,0
97,-53.5000,14,0
98,-58.0000,19,0
99,-41.4000,9,0
100,-54.6000,62,0
101,-48.4000,30,0
102,-56.4000,57,0
103,-60.4000,93,0
104,-52.8000,57,0
105,-53.5000,11,0
106,-49.2000,45,0
107,-51.7000,52,0
108,-45.2000,22,0
109,-50.5000,49,0
110,-48.8000,30,0
111,-47.1000,32,0
112,-42.8000,18,0
113,-51.8000,60,0
114,-44.4000,23,0
115,-46.4000,30,0
116,-54.7000,18,0
117,-47.4000,43,0
118,-53.3000,10,0
119,-41.5000,16,0
120,-54.9000,66,0
121,-53.8000,10,0
122,-42.7000,20,0
123,-58.2000,74,0
124,-50.6000,54,0
125,-51.5000,7,0
126,-53.1000,10,0
127,-53.1000,10,0
128,-77.6000,157,0
129,-54.3000,25,0
130,-53.1000,11,0
131,-53.9000,12,0
132,-46.3000,39,0
133,-49.1000,28,0
134,-55.7000,80,0
135,-45.3000,23,0
136,-45.0000,35,0
137,-53.0000,13,0
138,-52.4000,11,0
139,-44.5000,21,0
140,563.9500,41,1
141,-44.6000,37,0
142,-53.3000,13,0
143,-53.5000,8,0
144,-47.4000,36,0
145,-49.5000,36,0
146,-44.1000,29,0
147,-53.7000,8,0
148,-47.1000,40,0
149,-41.9000,17,0
150,-46.2000,24,0
151,-53.3000,13,0
152,-43.9000,28,0
153,-45.5000,31,0
154,-52.7000,8,0
155,-43.8000,17,0
156,-48.7000,33,0
157,-61.3000,39,0
158,-44.5000,22,0
159,-45.4000,24,0
160,-43.2000,19,0
161,-55.4000,103,0
162,-54.5000,13,0
163,-55.5000,23,0
164,-57.8000,85,0
165,-48.3000,34,0
166,-49.2000,45,0
167,-54.7000,14,0
168,-50.8000,36,0
169,-55.9000,25,0
170,-55.4000,82,0
171,-43.2000,21,0
172,-41.0000,8,0
173,-50.1000,40,0
174,-44.8000,27,0
175,-80.1000,158,0
176,-42.4000,27,0
177,-51.7000,7,0
178,-53.0000,16,0
179,-48.3000,41,0
180,-62.2000,49,0
181,-45.7000,33,0
182,-55.0000,20,0
183,-43.1000,7,0
184,-51.5000,11,0
185,-44.9000,22,0
186,-52.6000,9,0
187,-52.6000,14,0
188,-53.1000,79,0
189,-52.3000,6,0
190,-44.4000,20,0
191,-53.8000,63,0
192,-47.5000,38,0
193,-52.9000,9,0
194,-45.6000,33,0
195,-49.8000,44,0
196,-45.0000,31,0
197,-48.0000,35,0
198,-51.6000,6,0
199,-52.9000,11,0
200,-53.3000,11,0
201,-43.8000,17,0
202,-51.5000,5,0
203,553.8000,74,1
204,-53.9000,15,0
205,-48.6000,52,0
206,-41.0000,27,0
207,-43.1000,12,0
208,-59.1000,86,0
209,-45.9000,38,0
210,-46.3000,32,0
211,-49.0000,54,0
212,-52.3000,6,0
213,-41.8000,15,0
214,-48.8000,51,0
215,-49.8000,71,0
216,-54.1000,22,0
217,-47.0000,34,0
218,-53.5000,9,0
219,-50.7000,44,0
220,-46.7000,40,0
221,-44.0000,30,0
222,-52.5000,14,0
223,567.9000,30,1
224,-55.1000,23,0
225,-53.0000,69,0
226,-48.0000,46,0
227,-44.4000,25,0
228,-54.4000,66,0
229,-52.3000,6,0
230,-46.3000,36,0
231,-54.7000,74,0
232,-52.8000,8,0
233,-46.0000,34,0
234,-41.7000,8,0
235,-56.2000,69,0
236,-46.6000,41,0
237,558.8500,65,1
238,-52.9000,7,0
239,-41.9000,12,0
240,-44.9000,30,0
241,-50.5000,58,0
242,-41.5000,13,0
243,-54.1000,17,0
244,-47.9000,40,0
245,-54.3000,11,0
246,548.2500,101,1
247,-52.3000,45,0
248,565.9000,34,1
249,-52.4000,7,0
250,-43.7000,24,0
251,-51.9000,66,0
252,-54.6000,52,0
253,-43.7000,14,0
254,-53.7000,8,0
255,-54.3000,23,0
256,-58.9000,37,0
257,-45.9000,33,0
258,-52.3000,6,0
259,-50.4000,66,0
260,-47.4000,27,0
261,-51.1000,6,0
262,-41.6000,16,0
263,-50.1000,57,0
264,-45.7000,36,0
265,-53.2000,16,0
266,-52.1000,39,0
267,-52.3000,69,0
268,-46.5000,33,0
269,-55.5000,22,0
270,-45.0000,30,0
271,-53.5000,67,0
272,-56.5000,29,0
273,-48.1000,38,0
274,-45.0000,29,0
275,-44.1000,28,0
276,-42.0000,19,0
277,-41.4000,25,0
278,-60.7000,48,0
279,-52.2000,11,0
280,-42.3000,15,0
281,-52.5000,48,0
282,-42.9000,19,0
283,-45.5000,31,0
284,-45.8000,29,0
285,-52.7000,15,0
286,-58.0000,60,0
287,-47.9000,48,0
288,-54.1000,12,0
289,-56.4000,23,0
290,-45.8000,36,0
291,-52.7000,7,0
292,-49.5000,42,0
293,564.0000,50,1
294,-53.5000,16,0
295,-54.1000,13,0
296,569.6500,23,1
297,-50.2000,48,0
298,-53.7000,89,0
299,-42.6000,20,0
300,-54.4000,16,0
301,-55.8000,29,0
302,-53.7000,13,0
303,566.1500,29,1
304,-49.0000,43,0
305,-45.4000,31,0
306,558.0000,64,1
307,-53.5000,11,0
308,-43.3000,23,0
309,568.1000,32,1
310,-46.8000,33,0
311,-48.4000,55,0
312,-51.8000,69,0
313,-45.3000,41,0
314,-61.4000,112,0
315,-54.9000,27,0
316,-40.7000,14,0
317,567.0000,28,1
318,-46.4000,35,0
319,560.3500,53,1
320,562.6000,54,1
321,-47.5000,37,0
322,-52.2000,11,0
323,-54.6000,17,0
324,-47.3000,33,0
325,-46.5000,28,0
326,-61.0000,64,0
327,-48.5000,42,0
328,543.2500,111,1
329,-54.8000,88,0
330,-44.9000,26,0
331,565.9000,34,1
332,-45.6000,38,0
333,-53.5000,59,0
334,-43.9000,27,0
335,-64.8000,137,0
336,-50.4000,53,0
337,556.6000,62,1
338,-51.9000,38,0
339,-42.9000,24,0
340,-43.5000,16,0
341,-39.5000,18,0
342,-42.9000,13,0
343,-53.4000,13,0
344,564.6500,37,1
345,-53.9000,11,0
346,-56.7000,36,0
347,-52.3000,67,0
348,-53.4000,11,0
349,-51.5000,5,0
350,-53.5000,13,0
351,568.0000,28,1
352,-54.7000,17,0
353,-52.0000,48,0
354,-53.4000,13,0
355,-47.1000,29,0
356,560.2000,58,1
357,-79.1000,165,0
358,-48.2000,37,0
359,-55.9000,24,0
360,-48.9000,46,0
361,-47.9000,28,0
362,-53.3000,8,0
363,564.9500,49,1
364,-51.6000,7,0
365,-43.2000,18,0
366,567.5000,34,1
367,-56.0000,23,0
368,564.1500,49,1
369,-47.8000,40,0
370,-55.7000,24,0
371,-61.2000,42,0
372,-52.5000,12,0
373,-43.0000,23,0
374,-54.2000,16,0
375,-59.8000,21,0
376,556.0000,84,1
377,563.7000,42,1
378,-52.3000,7,0
379,-42.3000,23,0
380,-46.1000,33,0
381,-52.4000,10,0
382,-56.3000,29,0
383,-51.3000,65,0
384,566.5500,47,1
385,-51.4000,41,0
386,561.8500,57,1
387,-45.6000,32,0
388,-56.5000,109,0
389,569.0000,24,1
390,-54.0000,18,0
391,-43.7000,16,0
392,566.2000,36,1
393,-53.7000,14,0
394,563.5000,50,1
395,-51.9000,8,0
396,-42.2000,14,0
397,-53.4000,15,0
398,-42.6000,10,0
399,-43.9000,34,0
400,-43.6000,18,0
401,-46.3000,43,0
402,-56.1000,22,0
403,-45.9000,26,0
404,-46.1000,36,0
405,-42.6000,22,0
406,-47.4000,27,0
407,-53.5000,11,0
408,-56.3000,98,0
409,-47.7000,32,0
410,-51.9000,6,0
411,-40.8000,10,0
412,-54.1000,26,0
413,-50.2000,48,0
414,557.0000,74,1
415,565.1500,37,1
416,570.0500,19,1
417,560.2000,56,1
418,-46.1000,29,0
419,-52.7000,7,0
420,565.3000,32,1
421,562.2500,43,1
422,-47.6000,57,0
423,-42.8000,25,0
424,563.0500,49,1
425,-49.1000,63,0
426,-41.9000,15,0
427,569.3500,21,1
428,-52.5000,10,0
429,568.8000,24,1
430,-54.1000,13,0
431,567.9000,24,1
432,572.8000,18,1
433,-43.8000,20,0
434,-46.8000,26,0
435,567.0500,31,1
436,566.6000,36,1
437,560.6500,47,1
438,561.4500,37,1
439,-53.0000,9,0
440,566.8500,23,1
441,-51.0000,5,0
442,568.5500,23,1
443,-48.3000,47,0
444,-44.9000,21,0
445,557.0500,61,1
446,563.7500,45,1
447,-52.9000,7,0
448,-45.5000,31,0
449,568.0000,34,1
450,-44.0000,20,0
451,567.0500,39,1
452,-53.5000,10,0
453,-52.5000,14,0
454,569.3500,21,1
