episode,reward,length,win
1,4.0000,140,0
2,340.7000,413,0
3,151.7000,154,0
4,463.6000,395,0
5,252.7000,283,0
6,322.4000,130,0
7,123.1000,48,0
8,67.7000,16,0
9,105.6000,38,0
10,48.0000,15,0
11,-51.5000,27,0
12,226.2000,129,0
13,125.5000,51,0
14,238.6000,381,0
15,252.2000,152,0
16,97.0000,27,0
17,307.0000,201,0
18,37.9000,15,0
19,135.3000,121,0
20,242.3000,209,0
21,265.2000,145,0
22,498.2000,291,0
23,151.2000,45,0
24,60.7000,21,0
25,426.4000,250,0
26,192.5000,124,0
27,78.0000,20,0
28,110.5000,39,0
29,85.7000,47,0
30,66.2000,24,0
31,45.8000,21,0
32,416.2000,617,0
33,145.4000,39,0
34,199.4000,104,0
35,124.0000,82,0
36,47.6000,104,0
37,271.2000,181,0
38,145.2000,42,0
39,160.7000,25,0
40,98.2000,526,0
41,521.1000,958,0
42,483.7000,466,0
43,470.9000,338,0
44,346.8000,250,0
45,325.9000,203,0
46,418.4000,235,0
47,48.4000,25,0
48,110.5000,37,0
49,157.5000,32,0
50,554.2000,633,0
51,305.4000,142,0
52,173.2000,102,0
53,45.9000,19,0
54,222.6000,62,0
55,47.4000,21,0
56,115.2000,22,0
57,296.6000,164,0
58,38.1000,22,0
59,44.1000,20,0
60,23.2000,21,0
61,76.5000,35,0
62,63.8000,31,0
63,338.8000,342,0
64,198.7000,40,0
65,131.8000,66,0
66,136.3000,60,0
67,2.5000,13,0
68,95.9000,24,0
69,58.5000,32,0
70,425.9000,201,0
71,131.0000,42,0
72,330.0000,277,0
73,250.9000,80,0
74,375.9000,380,0
75,379.7000,103,0
76,-29.5000,28,0
77,112.6000,65,0
78,102.9000,33,0
79,186.4000,48,0
80,617.7000,1239,0
81,169.2000,46,0
82,146.7000,32,0
83,56.6000,14,0
84,457.5000,201,0
85,298.5000,94,0
86,261.0000,61,0
87,558.7000,544,0
88,183.0000,55,0
89,13.9000,16,0
90,133.4000,35,0
91,134.5000,85,0
92,51.4000,26,0
93,520.5000,438,0
94,100.9000,45,0
95,84.8000,24,0
96,229.0000,61,0
97,20.2000,15,0
98,364.8000,179,0
99,659.6000,248,0
100,53.4000,35,0
101,1.9000,20,0
102,393.9000,226,0
103,336.4000,146,0
104,183.1000,33,0
105,209.3000,95,0
106,128.0000,56,0
107,468.8000,295,0
108,569.4000,992,0
109,245.2000,60,0
110,445.8000,232,0
111,68.2000,24,0
112,25.0000,21,0
113,458.4000,128,0
114,32.0000,32,0
115,283.4000,248,0
116,-23.9000,8,0
117,300.0000,127,0
118,211.1000,82,0
119,167.1000,42,0
120,325.6000,154,0
121,154.0000,34,0
122,182.1000,51,0
123,28.2000,14,0
124,98.0000,22,0
125,37.2000,12,0
126,117.8000,31,0
127,128.7000,78,0
128,239.7000,118,0
129,466.1000,148,0
130,-3.1000,8,0
131,419.9000,178,0
132,195.5000,47,0
133,209.2000,124,0
134,222.8000,94,0
135,305.7000,183,0
136,148.6000,39,0
137,130.4000,54,0
138,427.3000,871,0
139,208.8000,117,0
140,199.2000,48,0
141,32.8000,34,0
142,386.2000,400,0
143,352.8000,87,0
144,36.2000,18,0
145,218.5000,59,0
146,133.8000,30,0
147,418.6000,143,0
148,185.7000,56,0
149,452.1000,269,0
150,46.4000,17,0
151,49.2000,13,0
152,67.8000,19,0
153,162.9000,46,0
154,271.1000,82,0
155,81.0000,27,0
156,46.5000,17,0
157,274.3000,49,0
158,-23.0000,10,0
159,74.7000,22,0
160,420.1000,133,0
161,594.2000,296,0
162,455.9000,214,0
163,600.2000,660,0
164,65.8000,19,0
165,80.1000,20,0
166,322.7000,94,0
167,489.9000,365,0
168,142.3000,64,0
169,165.2000,35,0
170,382.4000,158,0
171,0.9000,14,0
172,195.9000,49,0
173,36.2000,20,0
174,419.3000,337,0
175,387.1000,88,0
176,643.9000,510,0
177,92.8000,46,0
178,452.0000,274,0
179,369.2000,99,0
180,57.0000,23,0
181,376.4000,178,0
182,73.2000,28,0
183,417.7000,158,0
184,449.7000,220,0
185,606.7000,415,0
186,437.2000,131,0
187,56.5000,22,0
188,670.1000,302,0
189,441.6000,365,0
190,339.9000,63,0
191,568.5000,166,0
192,421.1000,185,0
193,357.6000,104,0
194,42.6000,23,0
195,128.8000,24,0
196,498.4000,195,0
197,288.8000,97,0
198,496.9000,160,0
199,172.7000,52,0
200,258.4000,60,0
201,309.5000,122,0
202,76.6000,16,0
203,15.9000,10,0
204,105.9000,30,0
205,84.9000,24,0
206,466.8000,379,0
207,90.7000,28,0
208,201.3000,123,0
209,106.4000,47,0
210,329.6000,72,0
211,115.4000,34,0
212,157.5000,34,0
213,436.5000,261,0
214,610.4000,257,0
215,486.6000,254,0
216,34.1000,13,0
217,155.5000,51,0
218,365.9000,162,0
219,496.3000,136,0
220,37.4000,12,0
221,144.9000,36,0
222,234.6000,51,0
223,76.9000,20,0
224,570.4000,205,0
225,58.4000,15,0
226,424.5000,114,0
227,285.9000,104,0
228,400.6000,138,0
229,48.8000,15,0
230,152.5000,46,0
231,442.4000,166,0
232,333.9000,69,0
233,382.1000,172,0
234,99.8000,27,0
235,169.5000,29,0
236,377.6000,73,0
237,68.5000,15,0
238,198.2000,50,0
239,159.6000,30,0
240,323.6000,143,0
241,204.7000,48,0
242,448.3000,222,0
243,125.3000,33,0
244,95.0000,27,0
245,294.9000,63,0
246,233.7000,106,0
247,143.2000,31,0
248,283.3000,153,0
249,66.8000,21,0
250,448.6000,222,0
251,106.9000,25,0
252,813.4000,545,0
253,409.3000,221,0
254,34.4000,17,0
255,22.2000,17,0
256,86.7000,22,0
257,255.6000,51,0
258,65.5000,22,0
259,301.3000,70,0
260,379.0000,260,0
261,218.8000,42,0
262,94.1000,29,0
263,420.2000,210,0
264,338.9000,90,0
265,94.0000,34,0
266,425.4000,302,0
267,135.8000,29,0
268,225.1000,53,0
269,284.1000,64,0
270,95.9000,39,0
271,169.1000,29,0
272,61.1000,12,0
273,147.1000,28,0
274,535.8000,228,0
275,666.7000,241,0
276,122.6000,37,0
277,452.5000,94,0
278,163.7000,40,0
279,518.3000,271,0
280,101.6000,25,0
281,636.6000,241,0
282,398.8000,102,0
283,363.3000,109,0
284,66.4000,15,0
285,48.0000,13,0
286,519.1000,295,0
287,439.5000,120,0
288,331.4000,99,0
289,327.3000,79,0
290,40.0000,17,0
291,49.6000,44,0
292,170.5000,33,0
293,438.0000,118,0
294,36.7000,16,0
295,9.3000,20,0
296,401.5000,164,0
297,627.6000,638,0
298,520.9000,184,0
299,446.0000,149,0
300,202.9000,67,0
301,439.1000,77,0
302,67.4000,15,0
303,432.3000,92,0
304,612.9000,190,0
305,48.2000,15,0
306,432.7000,91,0
307,151.7000,26,0
308,143.7000,31,0
309,522.8000,210,0
310,247.8000,54,0
311,494.4000,258,0
312,166.0000,27,0
313,407.8000,129,0
314,177.3000,37,0
315,172.9000,37,0
316,434.8000,134,0
317,139.8000,25,0
318,449.7000,356,0
319,340.3000,83,0
320,87.7000,19,0
321,95.2000,28,0
322,148.2000,24,0
323,615.3000,225,0
324,570.7000,553,0
325,201.1000,32,0
326,724.5000,429,0
327,598.2000,179,0
328,420.4000,149,0
329,23.3000,16,0
330,160.7000,35,0
331,7.1000,18,0
332,393.9000,83,0
333,392.2000,105,0
334,342.2000,52,0
335,263.9000,71,0
336,510.7000,456,0
337,98.6000,24,0
338,427.5000,134,0
339,529.0000,122,0
340,745.2000,225,0
341,309.4000,53,0
342,108.6000,33,0
343,587.0000,145,0
344,180.1000,29,0
345,268.8000,75,0
346,495.3000,112,0
347,478.7000,148,0
348,448.0000,132,0
349,748.0000,617,0
350,683.7000,184,0
351,731.2000,220,0
352,149.3000,30,0
353,506.5000,172,0
354,420.9000,87,0
355,156.4000,33,0
356,177.9000,53,0
357,511.6000,135,0
358,133.2000,35,0
359,168.2000,34,0
360,174.3000,38,0
361,65.9000,27,0
362,128.2000,23,0
363,47.3000,15,0
364,585.0000,253,0
365,243.0000,49,0
366,816.7000,331,0
367,598.3000,458,0
368,468.2000,77,0
369,512.5000,95,0
370,405.8000,87,0
371,270.7000,71,0
372,35.4000,16,0
373,889.5000,350,0
374,474.9000,102,0
375,416.2000,70,0
376,184.5000,40,0
377,241.1000,52,0
378,422.8000,92,0
379,438.6000,77,0
380,944.6000,232,0
381,650.5000,461,0
382,710.9000,174,0
383,463.5000,152,0
384,436.6000,78,0
385,235.1000,45,0
386,261.4000,45,0
387,220.2000,40,0
388,155.9000,109,0
389,85.9000,23,0
390,678.1000,162,0
391,35.6000,22,0
392,463.2000,127,0
393,683.7000,229,0
394,112.1000,28,0
395,447.1000,135,0
396,320.3000,70,0
397,156.5000,39,0
398,181.1000,40,0
399,99.8000,19,0
400,421.1000,71,0
401,575.0000,95,0
402,65.6000,17,0
403,62.4000,17,0
404,163.9000,36,0
405,66.4000,19,0
406,654.3000,222,0
407,228.9000,62,0
408,654.4000,466,0
409,411.3000,87,0
410,759.0000,265,0
411,247.3000,53,0
412,318.8000,54,0
413,301.7000,76,0
414,982.4000,941,0
415,507.6000,105,0
416,517.3000,122,0
417,199.8000,52,0
418,229.6000,82,0
419,188.4000,34,0
420,175.5000,41,0
421,137.2000,27,0
422,75.4000,20,0
423,376.2000,60,0
424,49.8000,15,0
425,85.5000,22,0
426,312.7000,43,0
427,398.2000,67,0
428,407.3000,88,0
429,430.7000,68,0
430,540.4000,96,0
431,460.3000,148,0
432,54.8000,16,0
433,346.6000,64,0
434,748.3000,128,0
435,55.2000,18,0
436,608.7000,88,0
437,602.3000,112,0
438,731.6000,490,0
439,638.0000,250,0
440,477.3000,83,0
441,121.8000,29,0
442,786.4000,174,0
443,259.5000,63,0
444,495.9000,88,0
445,410.0000,71,0
446,509.9000,77,0
447,47.4000,14,0
448,204.7000,37,0
449,612.9000,112,0
450,651.7000,113,0
451,137.0000,27,0
452,442.7000,66,0
453,109.1000,19,0
454,762.2000,194,0
455,822.8000,237,0
456,507.3000,88,0
457,332.4000,51,0
458,394.7000,50,0
459,762.6000,179,0
460,58.9000,13,0
461,379.1000,54,0
462,226.4000,35,0
463,45.7000,12,0
464,169.4000,37,0
465,562.3000,84,0
466,696.0000,150,0
467,397.4000,76,0
468,163.4000,38,0
469,116.2000,23,0
470,148.9000,23,0
471,646.5000,108,0
472,781.4000,903,0
473,755.2000,163,0
474,832.3000,347,0
475,171.7000,35,0
476,433.3000,63,0
477,315.1000,111,0
478,75.7000,20,0
479,238.3000,51,0
480,220.2000,36,0
481,541.6000,113,0
482,424.1000,54,0
483,523.6000,70,0
484,45.9000,14,0
485,227.1000,32,0
486,561.4000,83,0
487,281.8000,49,0
488,56.3000,12,0
489,356.0000,53,0
490,681.9000,101,0
491,689.5000,107,0
492,585.0000,142,0
493,628.3000,97,0
494,77.9000,15,0
495,572.9000,126,0
496,186.1000,63,0
497,423.5000,59,0
498,740.2000,185,0
499,563.8000,74,0
500,749.7000,129,0
501,78.5000,16,0
502,85.8000,22,0
503,109.7000,17,0
504,163.7000,27,0
505,398.8000,54,0
506,407.0000,66,0
507,523.8000,145,0
508,560.6000,202,0
509,767.4000,823,0
510,318.6000,52,0
511,283.1000,34,0
512,637.9000,96,0
513,370.7000,53,0
514,68.3000,15,0
515,94.8000,24,0
516,129.5000,21,0
517,398.1000,58,0
518,67.4000,16,0
519,763.4000,140,0
520,230.5000,33,0
521,344.3000,43,0
522,695.9000,107,0
523,168.0000,35,0
524,670.9000,101,0
525,702.1000,142,0
526,60.8000,19,0
527,178.7000,24,0
528,95.7000,22,0
529,472.2000,59,0
530,423.3000,82,0
531,146.9000,30,0
532,767.8000,430,0
533,787.9000,381,0
534,491.5000,69,0
535,785.2000,194,0
536,654.5000,93,0
537,671.9000,111,0
538,108.0000,19,0
539,690.4000,99,0
540,485.9000,193,0
541,715.9000,310,0
542,116.7000,34,0
543,311.9000,47,0
544,765.1000,183,0
545,166.7000,28,0
546,105.2000,38,0
547,313.8000,52,0
548,654.5000,87,0
549,76.0000,18,0
550,151.4000,34,0
551,188.7000,31,0
552,76.9000,20,0
553,783.8000,202,0
554,377.4000,82,0
555,578.7000,91,0
556,647.8000,85,0
557,759.9000,180,0
558,150.5000,21,0
559,484.1000,64,0
560,160.7000,22,0
561,453.0000,101,0
562,578.7000,94,0
563,549.1000,81,0
564,547.3000,75,0
565,46.8000,13,0
566,65.3000,17,0
567,347.1000,51,0
568,513.2000,77,0
569,381.0000,59,0
570,766.9000,227,0
571,618.7000,87,0
572,32.9000,14,0
573,139.7000,22,0
574,57.9000,18,0
575,657.3000,207,0
576,813.0000,266,0
577,386.7000,60,0
578,520.1000,94,0
579,528.6000,79,0
580,230.5000,35,0
581,557.8000,68,0
582,661.0000,113,0
583,168.3000,24,0
584,192.4000,28,0
585,599.1000,124,0
586,842.2000,294,0
587,742.6000,153,0
588,93.8000,26,0
589,764.2000,309,0
590,784.3000,248,0
591,137.8000,26,0
592,45.6000,13,0
593,481.5000,78,0
594,464.1000,86,0
595,396.4000,59,0
596,534.5000,74,0
597,88.0000,17,0
598,570.7000,86,0
599,534.0000,118,0
600,68.3000,15,0
601,68.3000,15,0
602,818.1000,384,0
603,691.5000,624,0
604,118.5000,20,0
605,690.0000,94,0
606,814.7000,230,0
607,169.9000,25,0
608,874.9000,312,0
609,768.8000,301,0
610,326.0000,56,0
611,89.6000,18,0
612,158.0000,26,0
613,659.6000,169,0
614,587.2000,89,0
615,448.2000,94,0
616,529.6000,84,0
617,481.8000,68,0
618,570.7000,85,0
619,179.6000,35,0
620,285.2000,53,0
621,813.6000,465,0
622,258.5000,38,0
623,334.1000,74,0
624,499.4000,81,0
625,656.2000,87,0
626,322.8000,41,0
627,756.8000,165,0
628,505.1000,70,0
629,140.9000,31,0
630,598.8000,90,0
631,65.2000,18,0
632,536.8000,69,0
633,753.9000,149,0
634,572.2000,165,0
635,57.6000,12,0
636,510.7000,78,0
637,252.2000,36,0
638,650.0000,112,0
639,694.6000,126,0
640,54.4000,14,0
641,56.4000,15,0
642,865.6000,277,0
643,761.8000,224,0
644,273.0000,43,0
645,812.1000,179,0
646,97.4000,16,0
647,308.0000,58,0
648,491.8000,69,0
649,721.1000,101,0
650,627.2000,79,0
651,755.5000,108,0
652,37.2000,12,0
653,86.9000,15,0
654,790.3000,526,0
655,370.9000,56,0
656,849.5000,614,0
657,655.6000,92,0
658,449.0000,68,0
659,523.7000,81,0
660,429.2000,95,0
661,308.8000,41,0
662,822.5000,363,0
663,99.3000,18,0
664,150.6000,25,0
665,59.2000,19,0
666,703.9000,134,0
667,710.2000,104,0
668,158.7000,28,0
669,729.9000,605,0
670,138.8000,23,0
671,311.4000,45,0
672,443.6000,58,0
673,898.7000,298,0
674,892.5000,352,0
675,565.7000,68,0
676,379.7000,60,0
677,741.8000,135,0
678,510.0000,73,0
679,741.2000,211,0
680,682.0000,89,0
